Deputado,Partido,Estado
Pastor Sargento Isidório,AVANTE,BA
Patrus Ananias,PT,MG
Pauderney Avelino,UNIÃO,AM
Paulão,PT,AL
Paulinho Da Força,SOLIDARIEDADE,SP
Paulo Abi-ackel,PSDB,MG
Paulo Alexandre Barbosa,PSDB,SP
Paulo Azi,UNIÃO,BA
Paulo Folletto,PSB,ES
Paulo Freire Costa,PL,SP
Paulo Guedes,PT,MG
Paulo Lemos,PSOL,AP
Paulo Litro,PSD,PR
Paulo Magalhães,PSD,BA
Senador Paulo Paim,PT,RS
Paulo Pimenta,PT,RS
Pedro Aihara,PRD,MG
Pedro Campos,PSB,PE
Senador Pedro Chaves,MDB,GO
Pedro Lucas Fernandes,UNIÃO,MA
Pedro Lupion,PP,PR
Pedro Paulo,PSD,RJ
Pedro Uczai,PT,SC
Pedro Westphalen,PP,RS
Pezenti,MDB,SC
Pinheirinho,PP,MG
Senador Plínio Valério,PSDB,AM
Pompeo De Mattos,PDT,RS
Pr. Marco Feliciano,PL,SP
Prof. Reginaldo Veras,PV,DF
Senadora Professora Dorinha Seabra,UNIÃO,TO
Professor Alcides,PL,GO
Professora Luciene Cavalcante,PSOL,SP
Professora Marcivania,PCdoB,AP
Rafael Brito,MDB,AL
Rafael Fera,PODE,RO
Rafael Prudente,MDB,DF
Rafael Simoes,UNIÃO,MG
Raimundo Costa,PODE,BA
Raimundo Santos,PSD,PA
Senador Randolfe Rodrigues,PT,AP
Reginaldo Lopes,PT,MG
Reimont,PT,RJ
Reinhold Stephanes,PSD,PR
Senador Renan Calheiros,MDB,AL
Renata Abreu,PODE,SP
Renilce Nicodemos,MDB,PA
Renildo Calheiros,PCdoB,PE
Ribamar Silva,PSD,SP
Ricardo Abrão,UNIÃO,RJ
Ricardo Ayres,REPUBLICANOS,TO
Ricardo Barros,PP,PR
Ricardo Guidi,PL,SC
Ricardo Maia,MDB,BA
Ricardo Salles,NOVO,SP
Robério Monteiro,PDT,CE
Roberta Roma,PL,BA
Roberto Duarte,REPUBLICANOS,AC
Roberto Monteiro Pai,PL,RJ
Robinson Faria,PP,RN
Rodolfo Nogueira,PL,MS
Rodrigo Da Zaeli,PL,MT
Rodrigo De Castro,UNIÃO,MG
Rodrigo Estacho,PSD,PR
Rodrigo Gambale,PODE,SP
Senador Rodrigo Pacheco,PSD,MG
Rodrigo Rollemberg,PSB,DF
Rodrigo Valadares,UNIÃO,SE
Rogéria Santos,REPUBLICANOS,BA
Senador Rogério Carvalho,PT,SE
Rogério Correia,PT,MG
Senador Rogerio Marinho,PL,RN
Senador Romário,PL,RJ
Romero Rodrigues,PODE,PB
Ronaldo Nogueira,REPUBLICANOS,RS
Rosana Valle,PL,SP
Rosangela Moro,UNIÃO,SP
Rosângela Reis,PL,MG
Rubens Otoni,PT,GO
Rubens Pereira Júnior,PT,MA
Rui Falcão,PT,SP
Ruy Carneiro,PODE,PB
Sâmia Bomfim,PSOL,SP
Samuel Santos,PODE,GO
Samuel Viana,REPUBLICANOS,MG
Sanderson,PL,RS
Sargento Fahur,PSD,PR
Sargento Gonçalves,PL,RN
Sargento Portugal,PODE,RJ
Saulo Pedroso,PSD,SP
Senador Sergio Moro,UNIÃO,PR
Senador Sérgio Petecão,PSD,AC
Sergio Souza,MDB,PR
Sidney Leite,PSD,AM
Silas Câmara,REPUBLICANOS,AM
Silvia Cristina,PP,RO
Silvye Alves,UNIÃO,GO
Simone Marquetto,MDB,SP
Socorro Neri,PP,AC
Soraya Santos,PL,RJ
Senadora Soraya Thronicke,PODEMOS,MS
Sóstenes Cavalcante,PL,RJ
Stefano Aguiar,PSD,MG
Senador Styvenson Valentim,PSDB,RN
Tabata Amaral,PSB,SP
Tadeu Veneri,PT,PR
Talíria Petrone,PSOL,RJ
Tarcísio Motta,PSOL,RJ
Senadora Teresa Leitão,PT,PE
Senadora Tereza Cristina,PP,MS
Thiago De Joaldo,PP,SE
Thiago Flores,REPUBLICANOS,RO
Tiago Dimas,PODE,TO
Tião Medeiros,PP,PR
Tiririca,PL,SP
Toninho Wandscheer,PP,PR
Túlio Gadêlha,REDE,PE
Valmir Assunção,PT,BA
Vander Loubet,PT,MS
Senador Veneziano Vital do Rêgo,MDB,PB
Vermelho,PP,PR
Vicentinho,PT,SP
Vicentinho Júnior,PP,TO
Vinicius Carvalho,REPUBLICANOS,SP
Vinicius Gurgel,PL,AP
Vitor Lippi,PSDB,SP
Waldemar Oliveira,AVANTE,PE
Waldenor Pereira,PT,BA
Weliton Prado,SOLIDARIEDADE,MG
Senador Wellington Fagundes,PL,MT
Wellington Roberto,PL,PB
Welter,PT,PR
Senador Weverton,PDT,MA
Senador Wilder Morais,PL,GO
Wilson Santiago,REPUBLICANOS,PB
Yandra Moura,UNIÃO,SE
Yury Do Paredão,MDB,CE
Zé Adriano,PP,AC
Zeca Dirceu,PT,PR
Zé Haroldo Cathedral,PSD,RR
Senadora Zenaide Maia,PSD,RN
Zé Neto,PT,BA
Senador Zequinha Marinho,PODEMOS,PA
Zé Silva,SOLIDARIEDADE,MG
Zé Trovão,PL,SC
Zé Vitor,PL,MG
Zezinho Barbary,PP,AC
Zucco,PL,RS
